date,window_start,window_end,n_obs_window,realized_return,realized_loss,historical_var,parametric_var,monte_carlo_var,historical_es,parametric_es,monte_carlo_es,monte_carlo_seed,expected_tail_observations,sparse_tail,historical_exception,parametric_exception,monte_carlo_exception
2016-02-08,2015-02-10,2016-02-05,250,-0.013552845967727472,13552.845967727471,27908.426194944906,24069.36123393332,23781.353493454484,34628.674572869495,27537.772380821956,27301.819072585688,1736002,2.5,True,False,False,False
2016-02-09,2015-02-11,2016-02-08,250,5.411237144687303e-05,-54.11237144687303,27908.426194944906,24191.76506327119,24209.906356106425,34628.674572869495,27663.93503311375,27644.441931857073,1736003,2.5,True,False,False,False
2016-02-10,2015-02-12,2016-02-09,250,-0.0008634073544801172,863.4073544801172,27908.426194944906,24193.546943824294,24172.966862989528,34628.674572869495,27665.669854744378,27718.850395538713,1736004,2.5,True,False,False,False
2016-02-11,2015-02-13,2016-02-10,250,-0.013093068069199177,13093.068069199177,27908.426194944906,24190.222887204018,24193.372930287467,34628.674572869495,27655.781956137114,27688.143350472554,1736005,2.5,True,False,False,False
2016-02-12,2015-02-17,2016-02-11,250,0.020407210864690814,-20407.210864690813,27908.426194944906,24322.729379689845,24404.659447202634,34628.674572869495,27797.56780979108,27759.89968032965,1736006,2.5,True,False,False,False
2016-02-16,2015-02-18,2016-02-12,250,0.01673741359881245,-16737.41359881245,27908.426194944906,24442.559998100856,24504.89684903406,34628.674572869495,27945.828069753676,27959.56622553228,1736010,2.5,True,False,False,False
2016-02-17,2015-02-19,2016-02-16,250,0.016202559826869536,-16202.559826869536,27908.426194944906,24507.610004771755,24849.834948778025,34628.674572869495,28030.05028360956,28257.72970720478,1736011,2.5,True,False,False,False
2016-02-18,2015-02-20,2016-02-17,250,-0.0041042316056149825,4104.231605614982,27908.426194944906,24561.822776777513,24405.664624348876,34628.674572869495,28102.016513348106,27985.28223810694,1736012,2.5,True,False,False,False
2016-02-19,2015-02-23,2016-02-18,250,-0.00046842838035920074,468.42838035920073,27908.426194944906,24591.186015775907,24572.317379708755,34628.674572869495,28129.779858112226,27968.70706495695,1736013,2.5,True,False,False,False
2016-02-22,2015-02-24,2016-02-19,250,0.014375310058193293,-14375.310058193292,27908.426194944906,24592.49442161155,24540.18694952767,34628.674572869495,28131.088520341524,28010.43905301533,1736016,2.5,True,False,False,False
2016-02-23,2015-02-25,2016-02-22,250,-0.012710070049213503,12710.070049213504,27908.426194944906,24637.867435196124,24835.928646781296,34628.674572869495,28189.793895585844,28357.333700640327,1736017,2.5,True,False,False,False
2016-02-24,2015-02-26,2016-02-23,250,0.004565256914766416,-4565.256914766415,27908.426194944906,24753.954034777227,24839.496771728012,34628.674572869495,28315.879733670354,28427.547944361002,1736018,2.5,True,False,False,False
2016-02-25,2015-02-27,2016-02-24,250,0.012039013384066346,-12039.013384066346,27908.426194944906,24741.082788911885,24508.77844671591,34628.674572869495,28304.482350032966,28017.46780680175,1736019,2.5,True,False,False,False
